Table Physical Name,Table Label,Table Description,Seq ,Column Physical Name,Column Label,Table Column Description,Logical Data Type,Physical Data Type,Not Null?,Size,Precision,Minimum,Maximum,Units of Measure,Domain Name
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",7,plasticity,Plasticity,"The degree to which a puddled, wet soil mass is permanently deformed without rupturing by a slow continuous application of force in any direction. (SSM)",Choice,Varchar,No,254,NA,NA,NA,NA,plasticity
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",8,rvindicator,RV?,A yes/no field that indicates if a value or row (set of values) is representative for the component.,Boolean,Varchar,Yes,3,NA,NA,NA,NA,NA
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",9,chkey,Chorizon Key,A non-connotative string of characters used to uniquely identify a record in the Horizon table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chconsistence,Horizon Consistence,"The Horizon Consistence table contains descriptive terms of soil consistence -- rupture resistance, plasticity, and stickiness -- for the referenced horizon. One row in this table is marked as having the representative characteristics for the horizon.",10,chconsistkey,Chorizon Consistence Key,A non-connotative string of characters used to uniquely identify a record in the Horizon Consistence table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chdesgnsuffix,Horizon Designation Suffix,"The Horizon Designation Suffix table contains the designation suffix(es), one per row, for the referenced horizon. For example, the ""h"" and ""s"" of a Bhs horizon appear as two rows in this table.",1,desgnsuffix,Suffix,"One of the four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils. Letter suffixes are used to designate subordinate distinctions within master horizons, and layers using lowercase letters. (SSM)",Choice,Varchar,No,254,NA,NA,NA,NA,horz_desgn_letter_suffix
chdesgnsuffix,Horizon Designation Suffix,"The Horizon Designation Suffix table contains the designation suffix(es), one per row, for the referenced horizon. For example, the ""h"" and ""s"" of a Bhs horizon appear as two rows in this table.",2,chkey,Chorizon Key,A non-connotative string of characters used to uniquely identify a record in the Horizon table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chdesgnsuffix,Horizon Designation Suffix,"The Horizon Designation Suffix table contains the designation suffix(es), one per row, for the referenced horizon. For example, the ""h"" and ""s"" of a Bhs horizon appear as two rows in this table.",3,chdesgnsfxkey,Chorizon Designation Suffix Key,A non-connotative string of characters used to uniquely identify a record in the Horizon Designation Suffix table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",1,fragvol_l,Low,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base.",Integer,Smallint,No,NA,NA,0,100,percent,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",2,fragvol_r,RV,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base.",Integer,Smallint,No,NA,NA,0,100,percent,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",3,fragvol_h,High,"The volume percentage of the horizon occupied by the 2 mm or larger fraction (20 mm or larger for wood fragments), on a whole soil base.",Integer,Smallint,No,NA,NA,0,100,percent,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",4,fragkind,Kind,The lithology/composition of the 2 mm or larger fraction of the soil (20 mm or larger for wood fragments).,Choice,Varchar,No,254,NA,NA,NA,NA,fragment_kind
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",5,fragsize_l,Low,Size based on the multiaxial dimensions of the fragment fraction.,Integer,Smallint,No,NA,NA,2,3000,mm,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",6,fragsize_r,RV,Size based on the multiaxial dimensions of the fragment fraction.,Integer,Smallint,No,NA,NA,2,3000,mm,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",7,fragsize_h,High,Size based on the multiaxial dimensions of the fragment fraction.,Integer,Smallint,No,NA,NA,2,3000,mm,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",8,fragshp,Shape,A description of the overall shape of the fragment.,Choice,Varchar,No,254,NA,NA,NA,NA,fragment_shape
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",9,fraground,Roundness,"An expression of the sharpness of edges and corners of fragments. (Sedimentary Rocks, Pettijohn, 1957)",Choice,Varchar,No,254,NA,NA,NA,NA,fragment_roundness
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",10,fraghard,Hardness,The hardness of a fragment.,Choice,Varchar,No,254,NA,NA,NA,NA,rupture_resist_block_cem
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",11,chkey,Chorizon Key,A non-connotative string of characters used to uniquely identify a record in the Horizon table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chfrags,Horizon Fragments,"The Horizon Fragments table lists the mineral and organic fragments that generally occur in the referenced horizon. If the Volume % is greater than zero (low=5, RV=10, high=15) in a row, the kind and size of fragment in that row exists everywhere this horizon and component occur in the map unit. If the Volume % includes zero (low=0, RV=5, high=10), the kind and size of fragment may exist in some places, but not in others.",12,chfragskey,Chorizon Fragnments Key,A non-connotative string of characters used to uniquely identify a record in the Horizon Fragments table.,String,Varchar,Yes,30,NA,NA,NA,NA,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",1,hzname,Designation,The concatenated string of four kinds of symbols (five data elements) used to distinguish different kinds of layers in the soil. (SSM),String,Varchar,No,12,NA,NA,NA,NA,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",2,desgndisc,Disc,"An Arabic numeral used to indicate a significant change in particle-size distribution or mineralogy that indicates a difference in the material from which the horizon(s) formed and/or a significant difference in age, unless that difference in age is indicated by the suffix ""b"". (SSM) This numeral is one of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in the soil.",Integer,Smallint,No,NA,NA,2,99,NA,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",3,desgnmaster,Master,"One of four kinds of symbols, that when concatenated, are used to distinguish different kinds of layers in soils. Master horizons and layers are the base symbols to which other characters are added to complete the designations. Capital letters, virgules (/), and ampersands (&) are used. (SSM)",Choice,Varchar,No,254,NA,NA,NA,horz_desgn_master,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",4,desgnmasterprime,Prime,A character used to indicate that this horizon has an identical horizon designation as some overlying horizon. The two horizons in question are separated by at least one other horizon.,Choice,Varchar,No,254,NA,NA,NA,horz_desgn_master_prime,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",5,desgnvert,Sub,"One of the four kinds of symbols, when concatenated, are used to distinguish different kinds of layers in soils. Vertical subdivisions are used to subdivide a horizon or layer designated by a single letter or combination of letters.",Integer,Smallint,No,NA,NA,1,NA,NA,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",6,hzdept_l,Low,The distance from the top of the soil to the upper boundary of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",7,hzdept_r,RV,The distance from the top of the soil to the upper boundary of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",8,hzdept_h,High,The distance from the top of the soil to the upper boundary of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",9,hzdepb_l,Low,The distance from the top of the soil to the base of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",10,hzdepb_r,RV,The distance from the top of the soil to the base of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",11,hzdepb_h,High,The distance from the top of the soil to the base of the soil horizon.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",12,hzthk_l,Low,A measurement from the top to bottom of a soil horizon throughout its areal extent.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",13,hzthk_r,RV,A measurement from the top to bottom of a soil horizon throughout its areal extent.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",14,hzthk_h,High,A measurement from the top to bottom of a soil horizon throughout its areal extent.,Integer,Smallint,No,NA,NA,0,9999,cm,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",15,fraggt10_l,Low,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",16,fraggt10_r,RV,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",17,fraggt10_h,High,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",18,frag3to10_l,Low,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",19,frag3to10_r,RV,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",20,frag3to10_h,High,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.,Integer,Smallint,No,NA,NA,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",21,sieveno4_l,Low,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",22,sieveno4_r,RV,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",23,sieveno4_h,High,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",24,sieveno10_l,Low,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",25,sieveno10_r,RV,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",26,sieveno10_h,High,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
chorizon,Horizon,"The Horizon table lists the horizon(s) and related data for the referenced map unit component. If the horizon thickness is greater than zero (low=5, RV=8, high=12), the horizon exists everywhere this component occurs. If the horizon thickness includes zero (low=0, RV=1, high=3), the horizon may exist in some places, but not in other places. Horizons that have two distinct parts, such as E/B or E&Bt horizons, are recorded twice. Once for the characteristics of the first part; and again on another row, using the same depths and thicknesses, for the characteristics of the other part.",27,sieveno40_l,Low,Soil fraction passing a number 40 sieve (0.42mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.,Float,Real,No,NA,1,0,100,percent,NA
